gameId,player,positionGroupType,shirtNumber,team
27814,"{'id': '9246', 'nickname': 'Oscar Estupinan'}",CF,19,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '7185', 'nickname': ""Max O'Leary""}",GK,1,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '9334', 'nickname': 'Sinclair Armstrong'}",CF,30,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '7265', 'nickname': 'Ryan Giles'}",LM,3,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '7137', 'nickname': 'Brandon Fleming'}",LB,21,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '10147', 'nickname': 'Anis Mehmeti'}",LW,11,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '33116', 'nickname': 'Leo Pecover'}",M,35,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '12018', 'nickname': 'Abdulkadir Omur'}",RM,10,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '11036', 'nickname': 'Andy Smith'}",RCB,26,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '7111', 'nickname': 'Jason Knight'}",CM,12,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '3094', 'nickname': 'Taylor Gardner-Hickman'}",CM,22,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '21089', 'nickname': 'Xavier Simons'}",DM,18,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '8386', 'nickname': 'Anthony Racioppi'}",GK,31,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '8182', 'nickname': 'Joe Williams'}",CM,8,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '4082', 'nickname': 'Stefan Bajic'}",GK,23,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '7017', 'nickname': 'Sean McLoughlin'}",LCB,6,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '24026', 'nickname': 'Tyrell Sellars-Fleming'}",CF,41,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '6921', 'nickname': 'Robert Dickie'}",LCB,16,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '7200', 'nickname': 'Nahki Wells'}",CF,21,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '7594', 'nickname': 'Alfie Jones'}",RCB,5,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '8293', 'nickname': 'William Jarvis'}",CF,36,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '7187', 'nickname': 'Zak Vyner'}",RCB,14,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '7646', 'nickname': 'Sam Bell'}",LW,20,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '13392', 'nickname': 'Matty Jacob'}",LB,29,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '7601', 'nickname': 'Finley Burns'}",RCB,17,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '7188', 'nickname': 'Cameron Pring'}",LB,3,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '7244', 'nickname': 'Kal Naismith'}",RCB,4,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '7307', 'nickname': 'Regan Slater'}",CM,27,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '26408', 'nickname': 'Stanley Ashbee'}",LCB,43,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '9226', 'nickname': 'Mark Sykes'}",RW,17,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '5214', 'nickname': 'Haydon Roberts'}",LB,24,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '7595', 'nickname': 'Lewie Coyle'}",RB,2,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '14033', 'nickname': 'Liam Millar'}",LW,7,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '7189', 'nickname': 'George Tanner'}",RB,19,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '5014', 'nickname': 'Fally Mayulu'}",CF,9,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '8825', 'nickname': 'Marvin Mehlem'}",CM,8,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '33117', 'nickname': 'Nathan Tinsdale'}",M,47,"{'id': '217', 'name': 'Hull City'}"
27814,"{'id': '7104', 'nickname': 'Max Bird'}",AM,6,"{'id': '212', 'name': 'Bristol City'}"
27814,"{'id': '32972', 'nickname': 'Josh Stokes'}",AM,26,"{'id': '212', 'name': 'Bristol City'}"
